elec_date,county_name,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,17,17,2,BERNIE SANDERS,DEM,13,59,652,724
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,17,17,3,KEITH JUDD,DEM,0,1,51,52
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,17,17,4,HILLARY CLINTON,DEM,15,39,319,373
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,17,17,5,ROQUE ROCKY DE LA FUENTE,DEM,0,1,31,32
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,17,17,6,MARTIN J. O'MALLEY,DEM,2,2,54,58
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,17,17,7,STAR LOCKE,DEM,0,1,31,32
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,1,DONALD J. TRUMP,REP,9,27,242,278
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,2,RAND PAUL,REP,0,0,1,1
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,3,CARLY FIORINA,REP,0,0,0,0
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,4,MARCO RUBIO,REP,2,16,86,104
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,5,RICK SANTORUM,REP,0,0,0,0
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,6,TED CRUZ,REP,1,27,241,269
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,7,JEB BUSH,REP,0,0,2,2
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,8,CHRIS CHRISTIE,REP,0,0,1,1
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,9,MIKE HUCKABEE,REP,0,0,9,9
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,10,BEN CARSON,REP,0,2,60,62
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,11,LINDSEY GRAHAM,REP,0,0,0,0
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,12,JOHN R. KASICH,REP,0,0,18,18
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,7,7,1,MICHAEL A. STEINBERG,DEM,0,1,8,9
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,7,7,2,BERNIE SANDERS,DEM,4,7,83,94
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,7,7,3,KEITH JUDD,DEM,0,0,5,5
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,7,7,4,HILLARY CLINTON,DEM,1,6,45,52
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,7,7,5,ROQUE ROCKY DE LA FUENTE,DEM,0,0,5,5
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,7,7,6,MARTIN J. O'MALLEY,DEM,0,1,12,13
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,7,7,7,STAR LOCKE,DEM,0,0,2,2
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,7,7,1,DONALD J. TRUMP,REP,5,19,261,285
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,7,7,2,RAND PAUL,REP,1,0,5,6
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,7,7,3,CARLY FIORINA,REP,0,0,1,1
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,7,7,4,MARCO RUBIO,REP,2,9,142,153
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,7,7,5,RICK SANTORUM,REP,0,0,0,0
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,7,7,6,TED CRUZ,REP,15,25,517,557
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,7,7,7,JEB BUSH,REP,0,0,8,8
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,7,7,8,CHRIS CHRISTIE,REP,0,0,4,4
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,7,7,9,MIKE HUCKABEE,REP,0,0,13,13
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,7,7,10,BEN CARSON,REP,1,5,103,109
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,7,7,11,LINDSEY GRAHAM,REP,0,0,2,2
03/01/2016,BEAVER,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,7,7,12,JOHN R. KASICH,REP,2,5,16,23
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,13,13,1,MICHAEL A. STEINBERG,DEM,0,1,38,39
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,13,13,2,BERNIE SANDERS,DEM,8,25,794,827
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,13,13,3,KEITH JUDD,DEM,1,1,43,45
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,13,13,4,HILLARY CLINTON,DEM,13,26,425,464
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,13,13,5,ROQUE ROCKY DE LA FUENTE,DEM,1,0,20,21
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,13,13,6,MARTIN J. O'MALLEY,DEM,2,1,67,70
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,13,13,7,STAR LOCKE,DEM,0,0,24,24
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,13,13,1,DONALD J. TRUMP,REP,8,39,619,666
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,13,13,2,RAND PAUL,REP,0,0,7,7
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,13,13,3,CARLY FIORINA,REP,0,0,3,3
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,13,13,4,MARCO RUBIO,REP,8,17,385,410
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,13,13,5,RICK SANTORUM,REP,0,0,0,0
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,13,13,6,TED CRUZ,REP,13,30,858,901
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,13,13,7,JEB BUSH,REP,1,1,6,8
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,13,13,8,CHRIS CHRISTIE,REP,0,0,1,1
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,13,13,9,MIKE HUCKABEE,REP,3,0,2,5
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,13,13,10,BEN CARSON,REP,7,1,119,127
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,13,13,11,LINDSEY GRAHAM,REP,0,0,0,0
03/01/2016,BECKHAM,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,13,13,12,JOHN R. KASICH,REP,1,4,52,57
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,9,9,1,MICHAEL A. STEINBERG,DEM,1,2,15,18
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,9,9,2,BERNIE SANDERS,DEM,6,13,416,435
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,9,9,3,KEITH JUDD,DEM,0,1,11,12
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,9,9,4,HILLARY CLINTON,DEM,5,8,300,313
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,9,9,5,ROQUE ROCKY DE LA FUENTE,DEM,0,0,8,8
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,9,9,6,MARTIN J. O'MALLEY,DEM,1,0,33,34
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,9,9,7,STAR LOCKE,DEM,1,1,18,20
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,9,9,1,DONALD J. TRUMP,REP,10,24,418,452
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,9,9,2,RAND PAUL,REP,0,1,7,8
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,9,9,3,CARLY FIORINA,REP,1,0,3,4
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,9,9,4,MARCO RUBIO,REP,7,4,291,302
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,9,9,5,RICK SANTORUM,REP,0,0,4,4
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,9,9,6,TED CRUZ,REP,13,16,504,533
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,9,9,7,JEB BUSH,REP,1,3,9,13
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,9,9,8,CHRIS CHRISTIE,REP,0,0,1,1
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,9,9,9,MIKE HUCKABEE,REP,1,0,2,3
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,9,9,10,BEN CARSON,REP,3,8,87,98
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,9,9,11,LINDSEY GRAHAM,REP,0,0,1,1
03/01/2016,BLAINE,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,9,9,12,JOHN R. KASICH,REP,0,1,28,29
03/01/2016,BLAINE,TOWN OF LONGDALE,40601,FOR BOARD OF TRUSTEES (UNEXPIRED TERM)  TOWN OF LONGDALE,,1,1,1,NINA SULLIVAN,,0,0,18,18
03/01/2016,BLAINE,TOWN OF LONGDALE,40601,FOR BOARD OF TRUSTEES (UNEXPIRED TERM)  TOWN OF LONGDALE,,1,1,2,DONALD MOONEY,,0,0,17,17
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,22,22,1,MICHAEL A. STEINBERG,DEM,3,3,95,101
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,22,22,2,BERNIE SANDERS,DEM,23,53,1841,1917
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,22,22,3,KEITH JUDD,DEM,0,1,79,80
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,22,22,4,HILLARY CLINTON,DEM,37,38,975,1050
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,22,22,5,ROQUE ROCKY DE LA FUENTE,DEM,0,0,30,30
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,22,22,6,MARTIN J. O'MALLEY,DEM,0,6,116,122
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,22,22,7,STAR LOCKE,DEM,1,4,64,69
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,22,22,1,DONALD J. TRUMP,REP,21,43,816,880
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,22,22,2,RAND PAUL,REP,0,0,14,14
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,22,22,3,CARLY FIORINA,REP,0,1,2,3
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,22,22,4,MARCO RUBIO,REP,8,16,307,331
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,22,22,5,RICK SANTORUM,REP,2,0,1,3
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,22,22,6,TED CRUZ,REP,20,91,1132,1243
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,22,22,7,JEB BUSH,REP,1,0,5,6
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,22,22,8,CHRIS CHRISTIE,REP,1,0,1,2
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,22,22,9,MIKE HUCKABEE,REP,0,1,14,15
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,22,22,10,BEN CARSON,REP,1,13,242,256
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,22,22,11,LINDSEY GRAHAM,REP,0,0,3,3
03/01/2016,BRYAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,22,22,12,JOHN R. KASICH,REP,2,7,60,69
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,20,20,1,MICHAEL A. STEINBERG,DEM,3,3,66,72
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,20,20,2,BERNIE SANDERS,DEM,21,41,1486,1548
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,20,20,3,KEITH JUDD,DEM,0,3,63,66
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,20,20,4,HILLARY CLINTON,DEM,20,39,1001,1060
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,20,20,5,ROQUE ROCKY DE LA FUENTE,DEM,1,0,40,41
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,20,20,6,MARTIN J. O'MALLEY,DEM,4,0,87,91
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,20,20,7,STAR LOCKE,DEM,1,1,35,37
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,20,20,1,DONALD J. TRUMP,REP,17,21,547,585
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,20,20,2,RAND PAUL,REP,0,0,3,3
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,20,20,3,CARLY FIORINA,REP,0,0,1,1
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,20,20,4,MARCO RUBIO,REP,5,11,344,360
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,20,20,5,RICK SANTORUM,REP,0,0,0,0
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,20,20,6,TED CRUZ,REP,10,17,820,847
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,20,20,7,JEB BUSH,REP,1,0,12,13
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,20,20,8,CHRIS CHRISTIE,REP,0,0,1,1
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,20,20,9,MIKE HUCKABEE,REP,0,0,11,11
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,20,20,10,BEN CARSON,REP,3,6,136,145
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,20,20,11,LINDSEY GRAHAM,REP,0,0,1,1
03/01/2016,CADDO,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,20,20,12,JOHN R. KASICH,REP,0,2,39,41
03/01/2016,CANADIAN,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,50,50,1,MICHAEL A. STEINBERG,DEM,6,1,75,82
03/01/2016,CANADIAN,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,50,50,2,BERNIE SANDERS,DEM,110,154,4660,4924
03/01/2016,CANADIAN,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,50,50,3,KEITH JUDD,DEM,1,2,111,114
03/01/2016,CANADIAN,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,50,50,4,HILLARY CLINTON,DEM,98,118,3141,3357
03/01/2016,CANADIAN,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,50,50,5,ROQUE ROCKY DE LA FUENTE,DEM,0,0,52,52
03/01/2016,CANADIAN,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,50,50,6,MARTIN J. O'MALLEY,DEM,9,4,143,156
03/01/2016,CANADIAN,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,50,50,7,STAR LOCKE,DEM,6,2,53,61
03/01/2016,CANADIAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,50,50,1,DONALD J. TRUMP,REP,204,224,5774,6202
03/01/2016,CANADIAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,50,50,2,RAND PAUL,REP,4,0,75,79
03/01/2016,CANADIAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,50,50,3,CARLY FIORINA,REP,6,0,30,36
03/01/2016,CANADIAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,50,50,4,MARCO RUBIO,REP,128,147,5543,5818
03/01/2016,CANADIAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,50,50,5,RICK SANTORUM,REP,0,0,10,10
03/01/2016,CANADIAN,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,50,50,6,TED CRUZ,REP,176,208,7730,8114
